geo_id,total,less_20,twenty_39,forty_59,sixty_99,hun_149,hunfifty_199,twohun_more,year,state,county,county_state,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
0500000US01097,154683,24.073750832347447,20.713329842322686,16.545451019181165,20.384269764615375,11.75048324638131,3.1244545295863153,3.408260765565705,2017,AL,mobile,mobile_AL,0.179,74120,1.3,SNAP,1.85,Other Nutrition Program,0.531,0.159,0.31,40045000,3.17,0.23,22750,0.71,0.3,36505,30.92,-88.02,278255,9428,25578,98241,58441,22436,41144,22987,413955,402012,11943,413955,408051,5904,154683,37238,32040,25593,31531,18176,4833,5272,409996,103506,100113,3393,242471,202201,40270,64019,63406,613,413955,244012,147234,3410,7504,79,5038,6678
0500000US01099,7728,40.20445134575569,24.84472049689441,13.405797101449277,13.31521739130435,3.2349896480331264,3.8302277432712217,1.1645962732919255,2017,AL,monroe,monroe_AL,0.241,5240,1.3,SNAP,1.85,Other Nutrition Program,0.68,0.141,0.179,2649000,2.96,0.279,1410,0.74,0.26,36425,31.73,-87.2,17132,262,1753,9555,2231,1191,1336,804,24363,24220,143,null,null,null,7728,3107,1920,1036,1029,250,296,90,24125,5617,5359,258,14074,11493,2581,4434,4265,169,null,null,null,null,null,null,null,null
0500000US01101,88554,23.00968900332001,21.285317433430446,16.537931657519707,21.144160625155273,11.166068161799581,3.510852135420196,3.345980983354789,2017,AL,montgomery,montgomery_AL,0.207,47040,1.3,SNAP,1.85,Other Nutrition Program,0.554,0.149,0.297,25423000,3.17,0.224,12070,0.68,0.32,36013,32.3,-85.99,150542,6663,14384,39880,29758,10607,29406,19844,226646,218788,7858,226646,218946,7700,88554,20376,18849,14645,18724,9888,3109,2963,221441,56384,55276,1108,132942,112991,19951,32115,31963,152,226646,82146,131468,311,6747,51,2034,3889
0500000US01103,45360,18.225308641975307,25.074955908289244,16.17283950617284,21.622574955908288,12.054673721340388,4.133597883597884,2.7160493827160495,2017,AL,morgan,morgan_AL,0.129,15380,1.3,SNAP,1.85,Other Nutrition Program,0.519,0.171,0.31,7907000,3.01,0.211,5800,0.74,0.26,35601,34.57,-86.98,82161,3877,7238,26868,19348,8488,11615,4727,118818,108967,9851,118818,115027,3791,45360,8267,11374,7336,9808,5468,1875,1232,116784,28282,27995,287,68283,58848,9435,20219,20219,0,118818,95425,15143,678,760,283,4294,2235
0500000US01107,6705,23.653989560029828,20.80536912751678,18.77703206562267,22.058165548098437,11.3944817300522,0.8202833706189411,2.4906785980611486,2017,AL,pickens,pickens_AL,0.189,3810,1.3,SNAP,1.85,Other Nutrition Program,0.627,0.139,0.234,2097000,3.22,0.242,1010,0.78,0.22,35442,33.12,-88.15,14517,980,2124,5623,3463,491,1447,389,19119,18212,907,19119,18385,734,6705,1586,1395,1259,1479,764,55,167,17345,3748,3667,81,10044,8749,1295,3553,3553,0,null,null,null,null,null,null,null,null
0500000US01109,9511,21.806329513195248,24.235096204394914,16.864682998633164,22.28998002313111,8.411313216275891,4.62622226895174,1.766375775417937,2017,AL,pike,pike_AL,0.21,6980,1.3,SNAP,1.85,Other Nutrition Program,0.587,0.151,0.262,4000000,3.36,0.245,1610,0.76,0.24,36005,31.81,-85.83,19727,506,2999,7476,3251,974,2355,2166,33267,32998,269,33267,32743,524,9511,2074,2305,1604,2120,800,440,168,33090,7026,6863,163,21242,18600,2642,4822,4822,0,null,null,null,null,null,null,null,null
0500000US01111,8371,21.28777923784494,23.330545932385615,24.0473061760841,19.44809461235217,4.611157567793573,3.727153267232111,3.5479632063074904,2017,AL,randolph,randolph_AL,0.153,3450,1.3,SNAP,1.85,Other Nutrition Program,0.583,0.154,0.263,1700000,2.89,0.23,1130,0.8,0.2,36263,33.46,-85.33,15165,1208,2351,5563,3493,1453,398,699,22670,22534,136,22670,22622,48,8371,1782,1953,2013,1628,386,312,297,22407,5121,4708,413,13669,10485,3184,3617,3617,0,null,null,null,null,null,null,null,null
0500000US01113,23931,32.100622623375536,23.425682169570848,18.582591617567175,15.29397016422214,7.178972880364381,1.8762274873594917,1.5419330575404286,2017,AL,russell,russell_AL,0.192,11220,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.175,0.256,5849000,3.05,0.223,3260,0.69,0.31,36851,32.13,-85.14,37893,2414,4491,12125,8842,3300,4492,2229,57045,53957,3088,57045,56303,742,23931,7682,5606,4447,3660,1718,449,369,55810,15312,14855,457,32754,26697,6057,7744,7744,0,57045,26887,25466,138,276,0,2679,1599
0500000US01117,78666,11.136958787786337,13.589098212696719,15.221315434876567,24.309104314443342,20.588310070424328,7.247095314367071,7.908117865405639,2017,AL,shelby,shelby_AL,0.093,19340,1.3,SNAP,1.85,Other Nutrition Program,0.378,0.128,0.494,11272000,3.42,0.159,8010,0.5,0.5,35007,33.22,-86.82,144760,2737,7485,28828,31411,11592,40148,22559,213605,201300,12305,213605,206881,6724,78666,8761,10690,11974,19123,16196,5701,6221,211902,53511,52075,1436,126677,116317,10360,31714,31562,152,213605,171245,26651,571,3167,69,6240,5662
0500000US01121,31759,22.787241411883247,27.40640448376838,17.985452942473,20.523316225321956,7.635630844799899,2.0277716552788183,1.6341824364747002,2017,AL,talladega,talladega_AL,0.172,13930,1.3,SNAP,1.85,Other Nutrition Program,0.561,0.196,0.243,7688000,3.23,0.23,4070,0.77,0.23,35014,33.33,-86.18,56193,2931,6240,19315,13352,6328,4987,3040,80065,78214,1851,80065,78828,1237,31759,7237,8704,5712,6518,2425,644,519,76760,18105,18007,98,45230,39388,5842,13425,13425,0,80065,50624,26648,250,162,0,1328,1053
